wavelength,flux,phase,object_id
7531.251,5.71456474e-21,-7,SN20088677_ou
7550.974,5.46339749e-21,-7,SN20088677_ou
7570.866,5.73665345e-21,-7,SN20088677_ou
7590.931,5.6062368e-21,-7,SN20088677_ou
7611.17,5.81716341e-21,-7,SN20088677_ou
7631.585,5.71758993e-21,-7,SN20088677_ou
7652.178,5.71238451e-21,-7,SN20088677_ou
7672.952,6.51011539e-21,-7,SN20088677_ou
7693.908,5.65660273e-21,-7,SN20088677_ou
7715.049,5.45916505e-21,-7,SN20088677_ou
7736.378,5.75202294e-21,-7,SN20088677_ou
7757.896,5.64695646e-21,-7,SN20088677_ou
7779.605,5.57667519e-21,-7,SN20088677_ou
7801.508,5.21032142e-21,-7,SN20088677_ou
7823.608,5.36697602e-21,-7,SN20088677_ou
7845.907,5.32550511e-21,-7,SN20088677_ou
7868.407,5.06500986e-21,-7,SN20088677_ou
7891.111,4.97494653e-21,-7,SN20088677_ou
7914.021,5.27339313e-21,-7,SN20088677_ou
7937.14,5.23316542e-21,-7,SN20088677_ou
7960.47,4.95985937e-21,-7,SN20088677_ou
7984.015,5.08014952e-21,-7,SN20088677_ou
8007.776,4.8876402e-21,-7,SN20088677_ou
8031.757,4.62036796e-21,-7,SN20088677_ou
8055.959,4.8021401e-21,-7,SN20088677_ou
8080.387,4.82405432e-21,-7,SN20088677_ou
8105.042,4.83205027e-21,-7,SN20088677_ou
8129.928,4.4109705e-21,-7,SN20088677_ou
8155.048,4.20763392e-21,-7,SN20088677_ou
8180.404,4.00354972e-21,-7,SN20088677_ou
8205.999,4.17077632e-21,-7,SN20088677_ou
8231.837,4.2224432e-21,-7,SN20088677_ou
8257.92,4.0858861e-21,-7,SN20088677_ou
8284.252,3.88694472e-21,-7,SN20088677_ou
8310.835,4.08099855e-21,-7,SN20088677_ou
8337.674,3.96087924e-21,-7,SN20088677_ou
8364.771,3.72982039e-21,-7,SN20088677_ou
8392.128,3.82515174e-21,-7,SN20088677_ou
8419.751,4.0324033e-21,-7,SN20088677_ou
8447.642,4.03049327e-21,-7,SN20088677_ou
8475.805,3.69489988e-21,-7,SN20088677_ou
8504.242,3.66023099e-21,-7,SN20088677_ou
8532.957,3.88110882e-21,-7,SN20088677_ou
8561.955,3.86422835e-21,-7,SN20088677_ou
8591.239,3.95196443e-21,-7,SN20088677_ou
8620.812,3.83405484e-21,-7,SN20088677_ou
8650.677,3.81160585e-21,-7,SN20088677_ou
8680.84,3.92027751e-21,-7,SN20088677_ou
8711.303,3.69347291e-21,-7,SN20088677_ou
8742.069,3.59019368e-21,-7,SN20088677_ou
8773.146,3.6149473e-21,-7,SN20088677_ou
8804.532,3.32269829e-21,-7,SN20088677_ou
8836.236,3.50372382e-21,-7,SN20088677_ou
8868.26,2.85324138e-21,-7,SN20088677_ou
8900.607,3.01724347e-21,-7,SN20088677_ou
8933.283,2.8452307e-21,-7,SN20088677_ou
8966.293,2.97588807e-21,-7,SN20088677_ou
8999.638,2.91201745e-21,-7,SN20088677_ou
9033.324,2.78812535e-21,-7,SN20088677_ou
9067.356,2.85953692e-21,-7,SN20088677_ou
9101.737,2.86142817e-21,-7,SN20088677_ou
9136.473,2.62191051e-21,-7,SN20088677_ou
9171.566,2.73276321e-21,-7,SN20088677_ou
9207.023,2.67762121e-21,-7,SN20088677_ou
9242.849,2.56169919e-21,-7,SN20088677_ou
9279.045,2.68491336e-21,-7,SN20088677_ou
9315.618,2.65668542e-21,-7,SN20088677_ou
9352.573,2.95826889e-21,-7,SN20088677_ou
9389.915,2.86871628e-21,-7,SN20088677_ou
9427.647,2.99813249e-21,-7,SN20088677_ou
9465.775,2.95479901e-21,-7,SN20088677_ou
9504.305,2.93492729e-21,-7,SN20088677_ou
9543.239,2.88257075e-21,-7,SN20088677_ou
9582.584,3.11018699e-21,-7,SN20088677_ou
9622.345,2.87445909e-21,-7,SN20088677_ou
9662.526,2.79110429e-21,-7,SN20088677_ou
9703.133,2.86393738e-21,-7,SN20088677_ou
9744.171,2.772936e-21,-7,SN20088677_ou
9785.645,2.60006919e-21,-7,SN20088677_ou
9827.559,2.47846859e-21,-7,SN20088677_ou
9869.919,2.61402099e-21,-7,SN20088677_ou
9912.731,2.40367175e-21,-7,SN20088677_ou
9956,2.35240352e-21,-7,SN20088677_ou
9999.73,2.27951973e-21,-7,SN20088677_ou
10043.93,2.30682437e-21,-7,SN20088677_ou
10088.6,2.20366348e-21,-7,SN20088677_ou
10133.74,2.02681767e-21,-7,SN20088677_ou
10179.38,2.18914359e-21,-7,SN20088677_ou
10225.49,2.13118177e-21,-7,SN20088677_ou
10272.11,2.25979725e-21,-7,SN20088677_ou
10319.22,2.07281162e-21,-7,SN20088677_ou
10366.83,2.10380626e-21,-7,SN20088677_ou
10414.96,2.07475275e-21,-7,SN20088677_ou
10463.6,1.98333011e-21,-7,SN20088677_ou
10512.75,1.84167926e-21,-7,SN20088677_ou
10562.44,1.79314561e-21,-7,SN20088677_ou
10612.65,2.02694571e-21,-7,SN20088677_ou
10663.4,1.83460117e-21,-7,SN20088677_ou
10714.69,1.86260435e-21,-7,SN20088677_ou
10766.53,1.76338609e-21,-7,SN20088677_ou
10818.92,1.77730943e-21,-7,SN20088677_ou
10871.86,1.85399488e-21,-7,SN20088677_ou
10925.36,1.75610161e-21,-7,SN20088677_ou
10979.43,1.6720616e-21,-7,SN20088677_ou
11034.07,1.64784829e-21,-7,SN20088677_ou
11089.28,1.56126958e-21,-7,SN20088677_ou
11145.08,1.46850257e-21,-7,SN20088677_ou
11201.45,1.28360195e-21,-7,SN20088677_ou
11258.42,1.28133902e-21,-7,SN20088677_ou
11315.97,1.10833448e-21,-7,SN20088677_ou
11374.12,1.14215498e-21,-7,SN20088677_ou
11432.88,1.11608485e-21,-7,SN20088677_ou
11492.24,1.22165105e-21,-7,SN20088677_ou
11552.2,1.05118975e-21,-7,SN20088677_ou
11612.78,1.11665586e-21,-7,SN20088677_ou
11673.97,1.0623689e-21,-7,SN20088677_ou
11735.78,1.00958111e-21,-7,SN20088677_ou
11798.21,1.04400038e-21,-7,SN20088677_ou
11861.26,9.93362127e-22,-7,SN20088677_ou
11924.93,9.94398021e-22,-7,SN20088677_ou
11989.24,1.01063679e-21,-7,SN20088677_ou
12054.17,1.19552842e-21,-7,SN20088677_ou
12119.74,1.0676855e-21,-7,SN20088677_ou
12185.94,1.02751554e-21,-7,SN20088677_ou
12252.77,1.08243439e-21,-7,SN20088677_ou
12320.24,1.09124419e-21,-7,SN20088677_ou
12388.35,1.09889945e-21,-7,SN20088677_ou
12457.09,1.00318045e-21,-7,SN20088677_ou
12526.46,9.79369123e-22,-7,SN20088677_ou
12596.47,9.89130702e-22,-7,SN20088677_ou
12667.12,9.44513133e-22,-7,SN20088677_ou
12738.4,9.29095989e-22,-7,SN20088677_ou
12810.31,8.82550621e-22,-7,SN20088677_ou
12882.85,8.44925868e-22,-7,SN20088677_ou
12956.02,9.18146347e-22,-7,SN20088677_ou
13029.82,8.79233517e-22,-7,SN20088677_ou
13104.23,8.56198678e-22,-7,SN20088677_ou
13179.27,8.72019416e-22,-7,SN20088677_ou
13254.91,7.75947012e-22,-7,SN20088677_ou
13331.17,8.55672501e-22,-7,SN20088677_ou
13408.04,8.26597133e-22,-7,SN20088677_ou
13485.5,6.80364081e-22,-7,SN20088677_ou
13563.56,7.3016405e-22,-7,SN20088677_ou
13642.21,6.6623663e-22,-7,SN20088677_ou
13721.43,7.02197681e-22,-7,SN20088677_ou
13801.24,8.09440557e-22,-7,SN20088677_ou
13881.6,7.27842905e-22,-7,SN20088677_ou
13962.53,7.31031065e-22,-7,SN20088677_ou
14044,6.68621287e-22,-7,SN20088677_ou
14126.02,6.56219788e-22,-7,SN20088677_ou
14208.56,6.63772203e-22,-7,SN20088677_ou
14291.63,5.55216764e-22,-7,SN20088677_ou
14375.21,5.28238478e-22,-7,SN20088677_ou
14459.28,5.34195754e-22,-7,SN20088677_ou
14543.84,4.49819949e-22,-7,SN20088677_ou
14628.88,4.70750233e-22,-7,SN20088677_ou
14714.38,3.98133807e-22,-7,SN20088677_ou
14800.33,2.74967982e-22,-7,SN20088677_ou
14886.72,2.4675251e-22,-7,SN20088677_ou
14973.53,2.50020616e-22,-7,SN20088677_ou
15060.75,2.46546144e-22,-7,SN20088677_ou
15148.36,2.49048765e-22,-7,SN20088677_ou
15236.35,2.56050189e-22,-7,SN20088677_ou
15324.7,2.80409961e-22,-7,SN20088677_ou
15413.41,2.86898614e-22,-7,SN20088677_ou
15502.44,3.28412413e-22,-7,SN20088677_ou
15591.79,3.1483469e-22,-7,SN20088677_ou
15681.44,3.68344123e-22,-7,SN20088677_ou
15771.37,3.18224268e-22,-7,SN20088677_ou
15861.56,2.9127943e-22,-7,SN20088677_ou
15952.01,3.23158195e-22,-7,SN20088677_ou
16042.68,2.91669316e-22,-7,SN20088677_ou
16133.56,2.89977469e-22,-7,SN20088677_ou
16224.64,3.19372874e-22,-7,SN20088677_ou
16315.9,2.65875559e-22,-7,SN20088677_ou
16407.31,2.68604488e-22,-7,SN20088677_ou
16498.86,2.43571621e-22,-7,SN20088677_ou
16590.53,2.97990907e-22,-7,SN20088677_ou
16682.31,2.63912141e-22,-7,SN20088677_ou
16774.17,3.17124356e-22,-7,SN20088677_ou
16866.09,2.73058813e-22,-7,SN20088677_ou
16958.06,2.75085996e-22,-7,SN20088677_ou
17050.07,2.61312409e-22,-7,SN20088677_ou
17142.08,2.43089672e-22,-7,SN20088677_ou
17234.08,2.43726061e-22,-7,SN20088677_ou
