wavelength,flux,phase,object_id
7531.251,6.69919401e-21,0,SN20088677_ou
7550.974,6.19042583e-21,0,SN20088677_ou
7570.866,6.46048778e-21,0,SN20088677_ou
7590.931,6.17534392e-21,0,SN20088677_ou
7611.17,6.87570862e-21,0,SN20088677_ou
7631.585,6.29479882e-21,0,SN20088677_ou
7652.178,6.39769274e-21,0,SN20088677_ou
7672.952,6.39401485e-21,0,SN20088677_ou
7693.908,5.84845612e-21,0,SN20088677_ou
7715.049,5.91401261e-21,0,SN20088677_ou
7736.378,5.66206785e-21,0,SN20088677_ou
7757.896,5.55345718e-21,0,SN20088677_ou
7779.605,5.84223611e-21,0,SN20088677_ou
7801.508,5.79007971e-21,0,SN20088677_ou
7823.608,5.58863497e-21,0,SN20088677_ou
7845.907,5.09987625e-21,0,SN20088677_ou
7868.407,5.38083493e-21,0,SN20088677_ou
7891.111,5.13247758e-21,0,SN20088677_ou
7914.021,5.49663738e-21,0,SN20088677_ou
7937.14,5.10324676e-21,0,SN20088677_ou
7960.47,4.84184194e-21,0,SN20088677_ou
7984.015,5.07081224e-21,0,SN20088677_ou
8007.776,4.95694485e-21,0,SN20088677_ou
8031.757,4.77531287e-21,0,SN20088677_ou
8055.959,5.0522035e-21,0,SN20088677_ou
8080.387,5.28483795e-21,0,SN20088677_ou
8105.042,4.77077509e-21,0,SN20088677_ou
8129.928,4.39737453e-21,0,SN20088677_ou
8155.048,3.8883939e-21,0,SN20088677_ou
8180.404,4.27099361e-21,0,SN20088677_ou
8205.999,4.10093126e-21,0,SN20088677_ou
8231.837,3.92153121e-21,0,SN20088677_ou
8257.92,3.70957628e-21,0,SN20088677_ou
8284.252,3.63705903e-21,0,SN20088677_ou
8310.835,3.56588636e-21,0,SN20088677_ou
8337.674,3.44922724e-21,0,SN20088677_ou
8364.771,3.19095948e-21,0,SN20088677_ou
8392.128,3.24932337e-21,0,SN20088677_ou
8419.751,3.41095963e-21,0,SN20088677_ou
8447.642,3.34392185e-21,0,SN20088677_ou
8475.805,3.28751908e-21,0,SN20088677_ou
8504.242,3.16488471e-21,0,SN20088677_ou
8532.957,3.46690943e-21,0,SN20088677_ou
8561.955,3.47163785e-21,0,SN20088677_ou
8591.239,3.60989334e-21,0,SN20088677_ou
8620.812,3.75783548e-21,0,SN20088677_ou
8650.677,3.80064813e-21,0,SN20088677_ou
8680.84,3.94431422e-21,0,SN20088677_ou
8711.303,3.85338978e-21,0,SN20088677_ou
8742.069,4.0236557e-21,0,SN20088677_ou
8773.146,4.07477369e-21,0,SN20088677_ou
8804.532,3.93259112e-21,0,SN20088677_ou
8836.236,3.8622428e-21,0,SN20088677_ou
8868.26,3.6645329e-21,0,SN20088677_ou
8900.607,3.86213374e-21,0,SN20088677_ou
