wavelength,flux,phase,object_id
7531.251,1.86766558e-21,-15,SN20088677_ou
7550.974,1.93661137e-21,-15,SN20088677_ou
7570.866,1.5420862e-21,-15,SN20088677_ou
7590.931,1.56620308e-21,-15,SN20088677_ou
7611.17,1.8431864e-21,-15,SN20088677_ou
7631.585,1.58050001e-21,-15,SN20088677_ou
7652.178,1.57986559e-21,-15,SN20088677_ou
7672.952,2.0256282e-21,-15,SN20088677_ou
7693.908,1.8600188e-21,-15,SN20088677_ou
7715.049,1.51297191e-21,-15,SN20088677_ou
7736.378,1.51203396e-21,-15,SN20088677_ou
7757.896,1.46575395e-21,-15,SN20088677_ou
7779.605,1.81939486e-21,-15,SN20088677_ou
7801.508,1.73034269e-21,-15,SN20088677_ou
7823.608,1.38299459e-21,-15,SN20088677_ou
7845.907,1.7854437e-21,-15,SN20088677_ou
7868.407,1.61744193e-21,-15,SN20088677_ou
7891.111,1.50095759e-21,-15,SN20088677_ou
7914.021,1.69759838e-21,-15,SN20088677_ou
7937.14,1.52372909e-21,-15,SN20088677_ou
7960.47,1.29447617e-21,-15,SN20088677_ou
7984.015,1.59932393e-21,-15,SN20088677_ou
8007.776,1.48278335e-21,-15,SN20088677_ou
8031.757,1.31513225e-21,-15,SN20088677_ou
8055.959,1.31820005e-21,-15,SN20088677_ou
8080.387,1.63400685e-21,-15,SN20088677_ou
8105.042,1.30401045e-21,-15,SN20088677_ou
8129.928,1.20975831e-21,-15,SN20088677_ou
8155.048,1.05049615e-21,-15,SN20088677_ou
8180.404,1.1519526e-21,-15,SN20088677_ou
8205.999,9.83919525e-22,-15,SN20088677_ou
8231.837,1.22492978e-21,-15,SN20088677_ou
8257.92,1.17758914e-21,-15,SN20088677_ou
8284.252,1.20245757e-21,-15,SN20088677_ou
8310.835,1.20589968e-21,-15,SN20088677_ou
8337.674,1.13114768e-21,-15,SN20088677_ou
8364.771,1.10839819e-21,-15,SN20088677_ou
8392.128,1.2372451e-21,-15,SN20088677_ou
8419.751,1.35315813e-21,-15,SN20088677_ou
8447.642,1.40045999e-21,-15,SN20088677_ou
8475.805,1.10449675e-21,-15,SN20088677_ou
8504.242,1.02757592e-21,-15,SN20088677_ou
8532.957,1.16338793e-21,-15,SN20088677_ou
8561.955,1.09445396e-21,-15,SN20088677_ou
8591.239,1.24113685e-21,-15,SN20088677_ou
8620.812,1.19202159e-21,-15,SN20088677_ou
8650.677,1.14784851e-21,-15,SN20088677_ou
8680.84,1.12003032e-21,-15,SN20088677_ou
8711.303,9.94334104e-22,-15,SN20088677_ou
8742.069,9.62047504e-22,-15,SN20088677_ou
8773.146,9.64320231e-22,-15,SN20088677_ou
8804.532,8.31081145e-22,-15,SN20088677_ou
8836.236,9.86594836e-22,-15,SN20088677_ou
8868.26,7.8500874e-22,-15,SN20088677_ou
8900.607,8.24198087e-22,-15,SN20088677_ou
8933.283,7.17562117e-22,-15,SN20088677_ou
8966.293,8.32844255e-22,-15,SN20088677_ou
8999.638,8.48722952e-22,-15,SN20088677_ou
9033.324,6.65056343e-22,-15,SN20088677_ou
