wavelength,flux,phase,object_id
7531.251,6.1021655e-21,7,SN20088677_ou
7550.974,5.49703967e-21,7,SN20088677_ou
7570.866,5.76488503e-21,7,SN20088677_ou
7590.931,5.82484593e-21,7,SN20088677_ou
7611.17,5.8133171e-21,7,SN20088677_ou
7631.585,5.75560065e-21,7,SN20088677_ou
7652.178,5.46160095e-21,7,SN20088677_ou
7672.952,6.06003382e-21,7,SN20088677_ou
7693.908,5.46062958e-21,7,SN20088677_ou
7715.049,5.21123947e-21,7,SN20088677_ou
7736.378,5.16049994e-21,7,SN20088677_ou
7757.896,5.01631202e-21,7,SN20088677_ou
7779.605,5.1814739e-21,7,SN20088677_ou
7801.508,4.68399786e-21,7,SN20088677_ou
7823.608,4.53100176e-21,7,SN20088677_ou
7845.907,4.82950572e-21,7,SN20088677_ou
7868.407,4.41901896e-21,7,SN20088677_ou
7891.111,4.20953143e-21,7,SN20088677_ou
7914.021,4.53622051e-21,7,SN20088677_ou
7937.14,4.21144953e-21,7,SN20088677_ou
7960.47,4.07359391e-21,7,SN20088677_ou
7984.015,4.50812868e-21,7,SN20088677_ou
8007.776,4.55456954e-21,7,SN20088677_ou
8031.757,4.04746178e-21,7,SN20088677_ou
8055.959,4.11996287e-21,7,SN20088677_ou
8080.387,4.42123352e-21,7,SN20088677_ou
8105.042,4.11535926e-21,7,SN20088677_ou
8129.928,3.91805972e-21,7,SN20088677_ou
8155.048,3.40902214e-21,7,SN20088677_ou
8180.404,3.47696848e-21,7,SN20088677_ou
8205.999,3.28954523e-21,7,SN20088677_ou
8231.837,3.47946699e-21,7,SN20088677_ou
8257.92,3.28462577e-21,7,SN20088677_ou
8284.252,3.02265448e-21,7,SN20088677_ou
8310.835,2.96952731e-21,7,SN20088677_ou
8337.674,2.71181975e-21,7,SN20088677_ou
8364.771,2.56516463e-21,7,SN20088677_ou
8392.128,2.86293228e-21,7,SN20088677_ou
8419.751,2.94231012e-21,7,SN20088677_ou
8447.642,2.94855799e-21,7,SN20088677_ou
8475.805,2.71073186e-21,7,SN20088677_ou
8504.242,2.48021726e-21,7,SN20088677_ou
8532.957,2.51943624e-21,7,SN20088677_ou
8561.955,2.52854936e-21,7,SN20088677_ou
8591.239,2.71417245e-21,7,SN20088677_ou
8620.812,2.92820018e-21,7,SN20088677_ou
8650.677,2.97019434e-21,7,SN20088677_ou
8680.84,3.23540105e-21,7,SN20088677_ou
8711.303,2.87163282e-21,7,SN20088677_ou
8742.069,3.21360597e-21,7,SN20088677_ou
8773.146,3.41720953e-21,7,SN20088677_ou
8804.532,3.26910906e-21,7,SN20088677_ou
8836.236,3.30185479e-21,7,SN20088677_ou
8868.26,2.98743932e-21,7,SN20088677_ou
8900.607,3.06629108e-21,7,SN20088677_ou
8933.283,2.83586857e-21,7,SN20088677_ou
8966.293,2.87130849e-21,7,SN20088677_ou
8999.638,2.83573852e-21,7,SN20088677_ou
9033.324,2.36349977e-21,7,SN20088677_ou
9067.356,2.35279772e-21,7,SN20088677_ou
9101.737,2.10196671e-21,7,SN20088677_ou
9136.473,1.87481597e-21,7,SN20088677_ou
9171.566,1.77987195e-21,7,SN20088677_ou
9207.023,1.65049048e-21,7,SN20088677_ou
9242.849,1.6800838e-21,7,SN20088677_ou
9279.045,1.50769368e-21,7,SN20088677_ou
9315.618,1.71343335e-21,7,SN20088677_ou
9352.573,2.17928265e-21,7,SN20088677_ou
9389.915,2.20701239e-21,7,SN20088677_ou
9427.647,2.49988744e-21,7,SN20088677_ou
9465.775,2.7524138e-21,7,SN20088677_ou
9504.305,2.86117432e-21,7,SN20088677_ou
9543.239,3.00562942e-21,7,SN20088677_ou
9582.584,3.41618888e-21,7,SN20088677_ou
9622.345,3.37160817e-21,7,SN20088677_ou
9662.526,3.45363537e-21,7,SN20088677_ou
9703.133,3.46213658e-21,7,SN20088677_ou
9744.171,3.40260987e-21,7,SN20088677_ou
9785.645,3.26164303e-21,7,SN20088677_ou
9827.559,3.09385603e-21,7,SN20088677_ou
9869.919,2.96294419e-21,7,SN20088677_ou
9912.731,2.55650569e-21,7,SN20088677_ou
9956,2.54647228e-21,7,SN20088677_ou
9999.73,2.20431436e-21,7,SN20088677_ou
10043.93,2.08380912e-21,7,SN20088677_ou
10088.6,1.95246553e-21,7,SN20088677_ou
10133.74,1.79658358e-21,7,SN20088677_ou
10179.38,1.70721031e-21,7,SN20088677_ou
10225.49,1.5869873e-21,7,SN20088677_ou
10272.11,1.58652242e-21,7,SN20088677_ou
10319.22,1.52059839e-21,7,SN20088677_ou
10366.83,1.62706457e-21,7,SN20088677_ou
10414.96,1.45749173e-21,7,SN20088677_ou
10463.6,1.43755711e-21,7,SN20088677_ou
10512.75,1.33738747e-21,7,SN20088677_ou
10562.44,1.25979991e-21,7,SN20088677_ou
10612.65,1.42146121e-21,7,SN20088677_ou
10663.4,1.16865252e-21,7,SN20088677_ou
10714.69,1.13420921e-21,7,SN20088677_ou
10766.53,1.03701155e-21,7,SN20088677_ou
10818.92,9.11914725e-22,7,SN20088677_ou
10871.86,9.98706792e-22,7,SN20088677_ou
10925.36,8.1708284e-22,7,SN20088677_ou
10979.43,7.84651442e-22,7,SN20088677_ou
11034.07,7.96165379e-22,7,SN20088677_ou
11089.28,6.62026763e-22,7,SN20088677_ou
11145.08,7.60881561e-22,7,SN20088677_ou
11201.45,6.40570908e-22,7,SN20088677_ou
11258.42,7.08167831e-22,7,SN20088677_ou
11315.97,6.06836489e-22,7,SN20088677_ou
11374.12,6.40470136e-22,7,SN20088677_ou
11432.88,6.21086877e-22,7,SN20088677_ou
11492.24,7.31676492e-22,7,SN20088677_ou
11552.2,5.55031325e-22,7,SN20088677_ou
11612.78,6.05222265e-22,7,SN20088677_ou
11673.97,5.56871579e-22,7,SN20088677_ou
11735.78,5.50146597e-22,7,SN20088677_ou
11798.21,5.79086761e-22,7,SN20088677_ou
11861.26,6.26782478e-22,7,SN20088677_ou
11924.93,5.61678052e-22,7,SN20088677_ou
11989.24,5.76667974e-22,7,SN20088677_ou
12054.17,6.61336352e-22,7,SN20088677_ou
12119.74,5.67968391e-22,7,SN20088677_ou
12185.94,5.46299531e-22,7,SN20088677_ou
12252.77,6.26258926e-22,7,SN20088677_ou
12320.24,6.3008085e-22,7,SN20088677_ou
12388.35,5.80394276e-22,7,SN20088677_ou
12457.09,5.47386265e-22,7,SN20088677_ou
12526.46,5.43543945e-22,7,SN20088677_ou
12596.47,5.47980802e-22,7,SN20088677_ou
12667.12,4.81790096e-22,7,SN20088677_ou
12738.4,5.26912738e-22,7,SN20088677_ou
12810.31,5.05562754e-22,7,SN20088677_ou
12882.85,4.88500134e-22,7,SN20088677_ou
12956.02,5.02918542e-22,7,SN20088677_ou
13029.82,4.55280179e-22,7,SN20088677_ou
13104.23,3.90543552e-22,7,SN20088677_ou
13179.27,4.59296226e-22,7,SN20088677_ou
13254.91,3.80492328e-22,7,SN20088677_ou
13331.17,4.31489295e-22,7,SN20088677_ou
13408.04,3.90225635e-22,7,SN20088677_ou
13485.5,3.08436082e-22,7,SN20088677_ou
13563.56,3.24920624e-22,7,SN20088677_ou
13642.21,2.94264808e-22,7,SN20088677_ou
13721.43,3.24754395e-22,7,SN20088677_ou
13801.24,3.81522315e-22,7,SN20088677_ou
13881.6,3.20727948e-22,7,SN20088677_ou
13962.53,3.39322245e-22,7,SN20088677_ou
14044,3.08198035e-22,7,SN20088677_ou
14126.02,3.38070796e-22,7,SN20088677_ou
14208.56,3.05241056e-22,7,SN20088677_ou
14291.63,3.14015007e-22,7,SN20088677_ou
14375.21,3.04821584e-22,7,SN20088677_ou
14459.28,3.1846547e-22,7,SN20088677_ou
14543.84,2.69796564e-22,7,SN20088677_ou
14628.88,2.65218974e-22,7,SN20088677_ou
14714.38,2.65650109e-22,7,SN20088677_ou
14800.33,2.01059705e-22,7,SN20088677_ou
14886.72,2.1131366e-22,7,SN20088677_ou
14973.53,2.44249587e-22,7,SN20088677_ou
15060.75,2.14699741e-22,7,SN20088677_ou
15148.36,2.17533178e-22,7,SN20088677_ou
15236.35,2.08013634e-22,7,SN20088677_ou
15324.7,2.51052067e-22,7,SN20088677_ou
15413.41,2.24153577e-22,7,SN20088677_ou
15502.44,2.52901233e-22,7,SN20088677_ou
