object_id,wavelength,flux,flux_err,phase
1209532,7450.550049,-2.75076018e-17,1.87978978e-17,-8.000141
1209532,7469.750000,5.37669383e-18,5.07094017e-18,-8.000141
1209532,7489.099854,-2.48252019e-18,1.68497239e-18,-8.000141
1209532,7508.549805,7.16465848e-20,8.17615096e-19,-8.000141
1209532,7528.149902,7.08340194e-19,5.30675240e-19,-8.000141
1209532,7547.949951,1.26049362e-19,4.28072791e-19,-8.000141
1209532,7567.899902,3.17583356e-19,3.90512743e-19,-8.000141
1209532,7587.949951,9.96349284e-19,3.79857183e-19,-8.000141
1209532,7608.149902,8.21119447e-19,3.71776611e-19,-8.000141
1209532,7628.549805,2.56067588e-19,3.66789565e-19,-8.000141
1209532,7649.099854,6.64134577e-19,3.62782676e-19,-8.000141
1209532,7669.750000,2.52390563e-19,3.58346480e-19,-8.000141
1209532,7690.600098,1.02030630e-18,3.52345156e-19,-8.000141
1209532,7711.650146,4.56344842e-19,3.49096197e-19,-8.000141
1209532,7732.800049,8.15245236e-20,3.44772627e-19,-8.000141
1209532,7754.099854,6.83732708e-19,3.37702405e-19,-8.000141
1209532,7775.599854,8.38150785e-19,3.33561668e-19,-8.000141
1209532,7797.300049,1.04222203e-18,3.29130952e-19,-8.000141
1209532,7819.150146,3.71559760e-19,3.25238938e-19,-8.000141
1209532,7841.199951,1.56772814e-19,3.20795402e-19,-8.000141
1209532,7863.449951,7.03430929e-19,3.17246693e-19,-8.000141
1209532,7885.850098,5.97456426e-19,3.13002559e-19,-8.000141
1209532,7908.400146,7.39477431e-20,3.07349917e-19,-8.000141
1209532,7931.150146,2.23356084e-19,3.03270417e-19,-8.000141
1209532,7954.100098,1.12696961e-19,2.99899320e-19,-8.000141
1209532,7977.199951,1.68961204e-19,2.96175818e-19,-8.000141
1209532,8000.549805,6.83787561e-19,2.91677145e-19,-8.000141
1209532,8024.099854,-9.12997758e-20,2.87252142e-19,-8.000141
1209532,8047.800049,1.44764672e-19,2.83549501e-19,-8.000141
1209532,8071.750000,2.70742418e-19,2.79462401e-19,-8.000141
1209532,8095.899902,5.12188995e-19,2.76994585e-19,-8.000141
1209532,8120.199951,5.63402590e-19,2.73590556e-19,-8.000141
1209532,8144.750000,3.53651894e-19,2.69665455e-19,-8.000141
1209532,8169.550049,-5.76612806e-20,2.66477708e-19,-8.000141
1209532,8194.500000,2.44731698e-19,2.62659106e-19,-8.000141
1209532,8219.649902,4.36116140e-19,2.58976446e-19,-8.000141
1209532,8245.100098,1.66861264e-19,2.55207191e-19,-8.000141
1209532,8270.750000,5.40925507e-19,2.53275802e-19,-8.000141
1209532,8296.599609,3.65516068e-19,2.49707500e-19,-8.000141
1209532,8322.699707,3.10229488e-19,2.46758627e-19,-8.000141
1209532,8349.049805,1.00695653e-18,2.42286707e-19,-8.000141
1209532,8375.649902,5.28084407e-19,2.39279699e-19,-8.000141
1209532,8402.450195,3.46068328e-19,2.36507894e-19,-8.000141
1209532,8429.500000,6.38440641e-19,2.33185006e-19,-8.000141
1209532,8456.799805,4.42033015e-19,2.30820330e-19,-8.000141
1209532,8484.350098,3.84560092e-19,2.26452687e-19,-8.000141
1209532,8512.200195,4.45480756e-19,2.23334397e-19,-8.000141
1209532,8540.300293,4.61049174e-19,2.21247756e-19,-8.000141
1209532,8568.600098,7.18832980e-19,2.18582529e-19,-8.000141
1209532,8597.199707,9.69995543e-20,2.14306819e-19,-8.000141
1209532,8626.099609,4.52092100e-19,2.12026334e-19,-8.000141
1209532,8655.250000,1.81023721e-19,2.09396106e-19,-8.000141
1209532,8684.650391,5.94405681e-19,2.06055912e-19,-8.000141
1209532,8714.350098,3.65514802e-19,2.03160638e-19,-8.000141
1209532,8744.350098,1.23751842e-19,2.00977320e-19,-8.000141
1209532,8774.650391,4.86976891e-19,1.98046115e-19,-8.000141
1209532,8805.250000,2.80417950e-19,1.95044742e-19,-8.000141
1209532,8836.149902,2.96858190e-19,1.92334123e-19,-8.000141
1209532,8867.350098,4.54892727e-19,1.90082628e-19,-8.000141
1209532,8898.850098,1.88656155e-19,1.86710445e-19,-8.000141
1209532,8930.649902,3.78159162e-19,1.84611862e-19,-8.000141
1209532,8962.750000,5.38477906e-20,1.82293004e-19,-8.000141
1209532,8995.250000,3.91055089e-19,1.78807290e-19,-8.000141
1209532,9028.049805,5.48152119e-19,1.77005316e-19,-8.000141
1209532,9061.149902,4.30241530e-19,1.74542541e-19,-8.000141
1209532,9094.600098,5.48354959e-20,1.71462431e-19,-8.000141
1209532,9128.400391,3.03846833e-19,1.69477998e-19,-8.000141
1209532,9162.550293,3.47462981e-19,1.67200176e-19,-8.000141
1209532,9197.050293,8.73087069e-20,1.64473788e-19,-8.000141
1209532,9231.900391,4.39065556e-19,1.62865723e-19,-8.000141
1209532,9267.100098,1.50271537e-19,1.60760277e-19,-8.000141
1209532,9302.699707,4.23810349e-20,1.58023072e-19,-8.000141
1209532,9338.699707,2.95101776e-19,1.56106482e-19,-8.000141
1209532,9375.049805,3.44767613e-19,1.53540981e-19,-8.000141
1209532,9411.750000,2.28091642e-19,1.51625231e-19,-8.000141
1209532,9448.850098,2.42456124e-19,1.49815011e-19,-8.000141
1209532,9486.399902,3.58215838e-19,1.46992489e-19,-8.000141
1209532,9524.350098,4.85817029e-19,1.45461249e-19,-8.000141
1209532,9562.650391,4.54062806e-19,1.43784114e-19,-8.000141
1209532,9601.400391,2.47478532e-19,1.42704980e-19,-8.000141
1209532,9640.600098,1.32382580e-19,1.36826297e-19,-8.000141
1209532,9680.199707,2.67352994e-19,1.36046253e-19,-8.000141
1209532,9720.199707,3.08480621e-19,1.34446344e-19,-8.000141
1209532,9760.649902,3.28205983e-19,1.32797243e-19,-8.000141
1209532,9801.600098,1.93842642e-19,1.30360252e-19,-8.000141
1209532,9842.950195,1.89813420e-19,1.29126693e-19,-8.000141
1209532,9884.750000,2.31758378e-19,1.26624847e-19,-8.000141
1209532,9927.049805,3.86617006e-19,1.25110796e-19,-8.000141
1209532,9969.799805,3.20018162e-19,1.22899368e-19,-8.000141
1209532,10013.049805,6.46240437e-19,1.21360902e-19,-8.000141
1209532,10056.799805,3.56267000e-19,1.19850625e-19,-8.000141
1209532,10101.000000,1.55546584e-19,1.18046958e-19,-8.000141
1209532,10145.700195,8.75642540e-20,1.16299759e-19,-8.000141
1209532,10190.950195,2.21866849e-19,1.14757881e-19,-8.000141
1209532,10236.649902,2.12044545e-19,1.13312603e-19,-8.000141
1209532,10282.849609,5.54659433e-20,1.11519650e-19,-8.000141
1209532,10329.649902,3.53079821e-19,1.09991188e-19,-8.000141
1209532,10376.950195,3.62568565e-19,1.08604653e-19,-8.000141
1209532,10424.750000,8.96405096e-20,1.07322471e-19,-8.000141
1209532,10473.149902,2.82626548e-19,1.06676643e-19,-8.000141
1209532,10522.100098,2.42779707e-19,1.06019739e-19,-8.000141
1209532,10571.600098,2.61763838e-19,1.02243802e-19,-8.000141
1209532,10621.649902,2.64846869e-19,1.00871638e-19,-8.000141
1209532,10672.250000,2.79797642e-19,9.99670712e-20,-8.000141
1209532,10723.450195,2.06432176e-19,9.85140056e-20,-8.000141
1209532,10775.200195,2.52862909e-19,9.66813934e-20,-8.000141
1209532,10827.550293,1.96778474e-19,9.54102495e-20,-8.000141
1209532,10880.500000,1.95266362e-19,9.42322086e-20,-8.000141
1209532,10934.049805,4.59075727e-19,9.26382122e-20,-8.000141
1209532,10988.200195,1.78952021e-19,9.15700764e-20,-8.000141
1209532,11042.950195,3.36678536e-19,9.04451302e-20,-8.000141
1209532,11098.350098,2.12263696e-19,8.95410993e-20,-8.000141
1209532,11154.350098,1.99948902e-19,8.83803323e-20,-8.000141
1209532,11211.000000,1.99759814e-19,8.51809980e-20,-8.000141
1209532,11268.250000,9.27315414e-20,8.45010491e-20,-8.000141
1209532,11326.100098,2.44445158e-19,8.41970602e-20,-8.000141
1209532,11384.649902,2.57361790e-19,8.35067457e-20,-8.000141
1209532,11443.849609,9.33520690e-20,8.24109252e-20,-8.000141
1209532,11503.649902,2.55840139e-19,8.10298826e-20,-8.000141
1209532,11564.100098,2.53763993e-19,7.93414324e-20,-8.000141
1209532,11625.250000,1.58501777e-19,7.80105635e-20,-8.000141
1209532,11687.049805,2.32372896e-19,7.77071821e-20,-8.000141
1209532,11749.500000,2.04865328e-19,7.71697344e-20,-8.000141
1209532,11812.600098,3.13130022e-19,7.48019428e-20,-8.000141
1209532,11876.350098,1.36450383e-19,7.36426362e-20,-8.000141
1209532,11940.800293,2.34312815e-19,7.24224479e-20,-8.000141
1209532,12005.899902,1.83273600e-19,7.14365326e-20,-8.000141
1209532,12071.649902,1.24132810e-19,7.05504865e-20,-8.000141
1209532,12138.050293,3.27128186e-20,6.96424683e-20,-8.000141
1209532,12205.150391,1.05376406e-19,6.86333920e-20,-8.000141
1209532,12272.950195,2.11077260e-19,6.79713179e-20,-8.000141
1209532,12341.350098,-3.86048649e-20,6.70813427e-20,-8.000141
1209532,12410.399902,5.83847664e-20,6.60460809e-20,-8.000141
1209532,12480.149902,2.19617874e-19,6.53023486e-20,-8.000141
1209532,12550.550293,6.88058656e-20,6.44195207e-20,-8.000141
