object_id,wavelength,flux,flux_err,phase
1209532,7450.550049,-2.18922250e-17,1.61874862e-17,17.402780
1209532,7469.750000,-8.12199596e-19,2.13970945e-18,17.402780
1209532,7489.099854,2.37429746e-18,8.29896402e-19,17.402780
1209532,7508.549805,9.23080521e-19,4.04303627e-19,17.402780
1209532,7528.149902,1.68352593e-19,2.60004632e-19,17.402780
1209532,7547.949951,1.44101777e-19,2.08592759e-19,17.402780
1209532,7567.899902,1.95246962e-19,1.90917408e-19,17.402780
1209532,7587.949951,1.20034699e-19,1.84152932e-19,17.402780
1209532,7608.149902,-1.22831151e-19,1.80749187e-19,17.402780
1209532,7628.549805,-1.72068806e-19,1.79738799e-19,17.402780
1209532,7649.099854,1.63623770e-19,1.77637644e-19,17.402780
1209532,7669.750000,1.22996044e-19,1.75418732e-19,17.402780
1209532,7690.600098,9.26714836e-21,1.73165582e-19,17.402780
1209532,7711.650146,-2.63031415e-19,1.71326993e-19,17.402780
1209532,7732.800049,-8.44553796e-20,1.69569298e-19,17.402780
1209532,7754.099854,-3.60266470e-19,1.66786094e-19,17.402780
1209532,7775.599854,2.01530304e-19,1.64026839e-19,17.402780
1209532,7797.300049,4.28587996e-19,1.62272480e-19,17.402780
1209532,7819.150146,1.08653521e-19,1.60103341e-19,17.402780
1209532,7841.199951,8.11222554e-20,1.58014800e-19,17.402780
1209532,7863.449951,-7.07107333e-20,1.54399788e-19,17.402780
1209532,7885.850098,2.28735188e-19,1.52551350e-19,17.402780
1209532,7908.400146,8.92977273e-20,1.50303254e-19,17.402780
1209532,7931.150146,-8.30802953e-20,1.49221198e-19,17.402780
1209532,7954.100098,2.30426075e-19,1.47275954e-19,17.402780
1209532,7977.199951,2.33517636e-19,1.44074829e-19,17.402780
1209532,8000.549805,1.76125093e-19,1.41640191e-19,17.402780
1209532,8024.099854,1.45127107e-19,1.41243468e-19,17.402780
1209532,8047.800049,3.70104698e-19,1.40014484e-19,17.402780
1209532,8071.750000,-4.36610484e-20,1.37407741e-19,17.402780
1209532,8095.899902,-5.93158010e-21,1.34296676e-19,17.402780
1209532,8120.199951,3.72666612e-20,1.32962511e-19,17.402780
1209532,8144.750000,2.26912134e-19,1.30737473e-19,17.402780
1209532,8169.550049,7.31471809e-20,1.29665718e-19,17.402780
1209532,8194.500000,-9.73771428e-20,1.28673799e-19,17.402780
1209532,8219.649902,-2.17641456e-19,1.28738875e-19,17.402780
1209532,8245.100098,-2.26511116e-20,1.27236301e-19,17.402780
1209532,8270.750000,-7.80613123e-20,1.25137227e-19,17.402780
1209532,8296.599609,-1.38710964e-19,1.22242974e-19,17.402780
1209532,8322.699707,4.73733575e-20,1.20308160e-19,17.402780
1209532,8349.049805,-1.57992256e-20,1.18463224e-19,17.402780
1209532,8375.649902,1.89721189e-19,1.17286534e-19,17.402780
1209532,8402.450195,2.19747793e-19,1.16251550e-19,17.402780
1209532,8429.500000,6.43566388e-21,1.15418307e-19,17.402780
1209532,8456.799805,1.61280587e-19,1.13097975e-19,17.402780
1209532,8484.350098,3.90649841e-20,1.10650994e-19,17.402780
1209532,8512.200195,1.62379832e-19,1.08723625e-19,17.402780
1209532,8540.300293,8.08455118e-20,1.07370887e-19,17.402780
1209532,8568.600098,9.61322101e-20,1.05739280e-19,17.402780
1209532,8597.199707,1.44245254e-19,1.04174603e-19,17.402780
1209532,8626.099609,-6.55195223e-20,1.03211183e-19,17.402780
1209532,8655.250000,2.48635965e-19,1.01317534e-19,17.402780
1209532,8684.650391,2.21128358e-19,1.01015561e-19,17.402780
1209532,8714.350098,2.88228913e-19,1.00800740e-19,17.402780
1209532,8744.350098,6.26204740e-20,9.93758567e-20,17.402780
1209532,8774.650391,1.20467134e-19,9.67351408e-20,17.402780
1209532,8805.250000,1.30881286e-19,9.48581969e-20,17.402780
1209532,8836.149902,2.95270676e-19,9.34050732e-20,17.402780
1209532,8867.350098,1.65265284e-19,9.35574942e-20,17.402780
1209532,8898.850098,6.74693809e-20,9.33111430e-20,17.402780
1209532,8930.649902,4.07433788e-20,9.08658808e-20,17.402780
1209532,8962.750000,1.47680936e-19,8.80486910e-20,17.402780
1209532,8995.250000,9.09999745e-20,8.67703803e-20,17.402780
1209532,9028.049805,3.35890194e-20,8.65184263e-20,17.402780
1209532,9061.149902,1.74587183e-19,8.69314802e-20,17.402780
1209532,9094.600098,7.45446961e-20,8.62140367e-20,17.402780
1209532,9128.400391,1.41623441e-19,8.39447636e-20,17.402780
1209532,9162.550293,1.25646809e-19,8.08713612e-20,17.402780
1209532,9197.050293,1.33150720e-19,7.83613979e-20,17.402780
1209532,9231.900391,1.29935301e-19,7.75613398e-20,17.402780
1209532,9267.100098,5.68476774e-20,7.78556545e-20,17.402780
1209532,9302.699707,2.02807432e-20,7.84699072e-20,17.402780
1209532,9338.699707,1.17529040e-19,7.76338409e-20,17.402780
1209532,9375.049805,-1.05857457e-19,7.62133068e-20,17.402780
1209532,9411.750000,2.44876170e-19,7.54455022e-20,17.402780
1209532,9448.850098,9.80044042e-20,7.38251136e-20,17.402780
1209532,9486.399902,9.90010987e-20,7.20252784e-20,17.402780
1209532,9524.350098,1.20052277e-19,7.04815785e-20,17.402780
1209532,9562.650391,2.20728468e-19,7.00291107e-20,17.402780
1209532,9601.400391,3.50151725e-20,6.98732582e-20,17.402780
1209532,9640.600098,7.68527691e-20,6.76098788e-20,17.402780
1209532,9680.199707,5.78204095e-20,6.69901589e-20,17.402780
1209532,9720.199707,1.79236636e-19,6.63689463e-20,17.402780
1209532,9760.649902,9.76124886e-20,6.48541137e-20,17.402780
1209532,9801.600098,1.38515646e-19,6.43104880e-20,17.402780
1209532,9842.950195,1.62297140e-19,6.33327799e-20,17.402780
1209532,9884.750000,2.05737422e-19,6.16297442e-20,17.402780
1209532,9927.049805,1.89903014e-19,6.02322549e-20,17.402780
1209532,9969.799805,2.10173281e-19,6.00575259e-20,17.402780
1209532,10013.049805,8.05471710e-20,6.03364667e-20,17.402780
1209532,10056.799805,2.22695581e-19,6.03457273e-20,17.402780
1209532,10101.000000,2.19558989e-19,5.98550088e-20,17.402780
