snid,cohort
250368,ia_snr10p43
1280648,ia_snr8p95
2941449,ia_snr7p92
2828433,ia_snr7p81_single_visit
970785,ia_snr7p73_two_visits
695660,ia_snr7p16
60220,ia_snr6p48_two_visits
245027,ia_snr6p12
3226419,ia_snr5p90
2345584,ia_snr5p43
3215658,other_snr4p95
432872,other_snr4p49
