object_id,wavelength,flux,flux_err,phase
2791003,7450.550049,2.47236559e-17,1.93960338e-17,14.815550
2791003,7469.750000,3.25635344e-18,5.22152220e-18,14.815550
2791003,7489.099854,-3.09769859e-19,1.74787399e-18,14.815550
2791003,7508.549805,1.84444940e-18,8.57381649e-19,14.815550
2791003,7528.149902,2.29671205e-18,5.63457597e-19,14.815550
2791003,7547.949951,2.69140418e-18,4.58781871e-19,14.815550
2791003,7567.899902,2.30144973e-18,4.21142388e-19,14.815550
2791003,7587.949951,2.41980935e-18,4.11192672e-19,14.815550
2791003,7608.149902,2.81824384e-18,4.03928087e-19,14.815550
2791003,7628.549805,3.24094410e-18,4.00431620e-19,14.815550
2791003,7649.099854,3.42513716e-18,3.97496215e-19,14.815550
2791003,7669.750000,3.55011526e-18,3.94493704e-19,14.815550
2791003,7690.600098,4.08352681e-18,3.89107363e-19,14.815550
2791003,7711.650146,3.61774720e-18,3.85825239e-19,14.815550
2791003,7732.800049,4.59556816e-18,3.81235550e-19,14.815550
2791003,7754.099854,3.87357059e-18,3.73746774e-19,14.815550
2791003,7775.599854,3.92284202e-18,3.68793823e-19,14.815550
2791003,7797.300049,2.99072548e-18,3.63609805e-19,14.815550
2791003,7819.150146,3.25692605e-18,3.59237974e-19,14.815550
2791003,7841.199951,3.01684619e-18,3.52832391e-19,14.815550
2791003,7863.449951,3.65641376e-18,3.47576744e-19,14.815550
2791003,7885.850098,3.33800113e-18,3.41097438e-19,14.815550
2791003,7908.400146,2.78512126e-18,3.33022811e-19,14.815550
2791003,7931.150146,2.97792320e-18,3.26817664e-19,14.815550
2791003,7954.100098,2.57045693e-18,3.22556934e-19,14.815550
2791003,7977.199951,2.39288338e-18,3.18394329e-19,14.815550
2791003,8000.549805,1.40145251e-18,3.14512913e-19,14.815550
2791003,8024.099854,1.94796898e-18,3.10142608e-19,14.815550
2791003,8047.800049,1.62278433e-18,3.05488554e-19,14.815550
2791003,8071.750000,1.98609250e-18,3.00142485e-19,14.815550
2791003,8095.899902,1.34024084e-18,2.97137312e-19,14.815550
2791003,8120.199951,1.89632376e-18,2.93541998e-19,14.815550
2791003,8144.750000,1.81609241e-18,2.89548809e-19,14.815550
2791003,8169.550049,2.26463874e-18,2.86545781e-19,14.815550
2791003,8194.500000,1.93387713e-18,2.83412395e-19,14.815550
2791003,8219.649902,2.92434920e-18,2.80658453e-19,14.815550
2791003,8245.100098,2.56504965e-18,2.78031482e-19,14.815550
2791003,8270.750000,2.33735578e-18,2.76555895e-19,14.815550
2791003,8296.599609,2.34690041e-18,2.73433056e-19,14.815550
2791003,8322.699707,2.62243303e-18,2.70477281e-19,14.815550
2791003,8349.049805,2.45609652e-18,2.66183257e-19,14.815550
2791003,8375.649902,2.44589718e-18,2.63256537e-19,14.815550
2791003,8402.450195,2.73039209e-18,2.60370452e-19,14.815550
2791003,8429.500000,2.16443533e-18,2.57098410e-19,14.815550
2791003,8456.799805,2.60048441e-18,2.54663682e-19,14.815550
2791003,8484.350098,2.47220400e-18,2.50234621e-19,14.815550
2791003,8512.200195,2.45664205e-18,2.46599213e-19,14.815550
2791003,8540.300293,2.10259406e-18,2.43571293e-19,14.815550
2791003,8568.600098,2.56168571e-18,2.40182489e-19,14.815550
2791003,8597.199707,2.36901239e-18,2.35153128e-19,14.815550
2791003,8626.099609,1.90837433e-18,2.31996684e-19,14.815550
2791003,8655.250000,2.07174602e-18,2.28215667e-19,14.815550
2791003,8684.650391,1.89442744e-18,2.23853944e-19,14.815550
2791003,8714.350098,1.98505025e-18,2.20287219e-19,14.815550
2791003,8744.350098,1.25569843e-18,2.17161225e-19,14.815550
2791003,8774.650391,1.63648316e-18,2.13048832e-19,14.815550
2791003,8805.250000,1.26707940e-18,2.08617923e-19,14.815550
2791003,8836.149902,1.15073272e-18,2.04806895e-19,14.815550
2791003,8867.350098,1.35026595e-18,2.02465858e-19,14.815550
2791003,8898.850098,1.28290347e-18,1.99438157e-19,14.815550
2791003,8930.649902,1.41042246e-18,1.97417846e-19,14.815550
2791003,8962.750000,1.36325858e-18,1.93758050e-19,14.815550
2791003,8995.250000,1.49776921e-18,1.89256947e-19,14.815550
2791003,9028.049805,1.31379753e-18,1.86785783e-19,14.815550
2791003,9061.149902,1.58861112e-18,1.84820738e-19,14.815550
2791003,9094.600098,1.07923195e-18,1.82540266e-19,14.815550
2791003,9128.400391,1.17737363e-18,1.80193748e-19,14.815550
2791003,9162.550293,1.26062729e-18,1.77536224e-19,14.815550
2791003,9197.050293,1.27951906e-18,1.74185238e-19,14.815550
2791003,9231.900391,7.89427469e-19,1.72227482e-19,14.815550
2791003,9267.100098,7.63888216e-19,1.70295214e-19,14.815550
2791003,9302.699707,1.20126591e-18,1.67497159e-19,14.815550
2791003,9338.699707,1.16591924e-18,1.64947168e-19,14.815550
2791003,9375.049805,1.15436529e-18,1.61993526e-19,14.815550
2791003,9411.750000,9.20528462e-19,1.60288086e-19,14.815550
2791003,9448.850098,1.23120737e-18,1.58792544e-19,14.815550
2791003,9486.399902,6.99792265e-19,1.55976524e-19,14.815550
2791003,9524.350098,1.09899227e-18,1.53488132e-19,14.815550
2791003,9562.650391,1.25681295e-18,1.51071911e-19,14.815550
2791003,9601.400391,7.53390208e-19,1.49928192e-19,14.815550
2791003,9640.600098,7.59134047e-19,1.44342422e-19,14.815550
2791003,9680.199707,1.00714017e-18,1.43561822e-19,14.815550
2791003,9720.199707,1.03741591e-18,1.41864861e-19,14.815550
2791003,9760.649902,8.95532511e-19,1.39649930e-19,14.815550
2791003,9801.600098,8.29199864e-19,1.37081508e-19,14.815550
2791003,9842.950195,5.26128022e-19,1.35447013e-19,14.815550
2791003,9884.750000,8.71052308e-19,1.32744911e-19,14.815550
2791003,9927.049805,8.88136896e-19,1.30959558e-19,14.815550
2791003,9969.799805,7.99872227e-19,1.28698085e-19,14.815550
2791003,10013.049805,7.13732533e-19,1.27039083e-19,14.815550
2791003,10056.799805,7.11348547e-19,1.25756449e-19,14.815550
2791003,10101.000000,6.68502556e-19,1.24135692e-19,14.815550
2791003,10145.700195,5.94037224e-19,1.22392681e-19,14.815550
2791003,10190.950195,5.30719443e-19,1.20610675e-19,14.815550
2791003,10236.649902,6.60631725e-19,1.19064688e-19,14.815550
2791003,10282.849609,8.80781399e-19,1.17170328e-19,14.815550
2791003,10329.649902,6.56612093e-19,1.15276976e-19,14.815550
2791003,10376.950195,7.70731119e-19,1.13687354e-19,14.815550
2791003,10424.750000,8.43584018e-19,1.12396785e-19,14.815550
2791003,10473.149902,7.59416219e-19,1.11693733e-19,14.815550
2791003,10522.100098,5.17002255e-19,1.09923489e-19,14.815550
2791003,10571.600098,4.94561465e-19,1.04593350e-19,14.815550
2791003,10621.649902,3.31197585e-19,1.01935082e-19,14.815550
2791003,10672.250000,2.73274005e-19,1.02389676e-19,14.815550
2791003,10723.450195,4.84254692e-19,1.08585550e-19,14.815550
2791003,10775.200195,4.58561997e-19,1.08162027e-19,14.815550
2791003,10827.550293,3.01761691e-19,9.83460040e-20,14.815550
2791003,10880.500000,4.32603053e-19,9.74051765e-20,14.815550
2791003,10934.049805,3.61324951e-19,9.94462446e-20,14.815550
2791003,10988.200195,3.19974140e-19,9.87445176e-20,14.815550
2791003,11042.950195,6.80859755e-19,9.67199478e-20,14.815550
2791003,11098.350098,7.88553243e-19,9.55912534e-20,14.815550
2791003,11154.350098,9.05676641e-19,9.56511271e-20,14.815550
2791003,11211.000000,1.05853362e-18,9.36618869e-20,14.815550
