object_id,wavelength,flux,flux_err,phase
2791003,7450.550049,1.63380082e-17,1.95708766e-17,-0.826972
2791003,7469.750000,5.44042479e-18,5.20883076e-18,-0.826972
2791003,7489.099854,4.41659522e-18,1.76943652e-18,-0.826972
2791003,7508.549805,5.73851752e-18,8.85681410e-19,-0.826972
2791003,7528.149902,5.56314241e-18,5.90724210e-19,-0.826972
2791003,7547.949951,6.32920472e-18,4.83753162e-19,-0.826972
2791003,7567.899902,4.59584692e-18,4.45115607e-19,-0.826972
2791003,7587.949951,5.16266168e-18,4.33341725e-19,-0.826972
2791003,7608.149902,5.44180908e-18,4.24624534e-19,-0.826972
2791003,7628.549805,5.22535535e-18,4.19523466e-19,-0.826972
2791003,7649.099854,5.73515048e-18,4.15092828e-19,-0.826972
2791003,7669.750000,5.58343936e-18,4.10662449e-19,-0.826972
2791003,7690.600098,5.60318126e-18,4.04317896e-19,-0.826972
2791003,7711.650146,5.78666564e-18,4.00900451e-19,-0.826972
2791003,7732.800049,4.84559053e-18,3.96644710e-19,-0.826972
2791003,7754.099854,4.84279342e-18,3.89897139e-19,-0.826972
2791003,7775.599854,4.95580242e-18,3.85472990e-19,-0.826972
2791003,7797.300049,5.79562566e-18,3.80699744e-19,-0.826972
2791003,7819.150146,5.39014545e-18,3.76506300e-19,-0.826972
2791003,7841.199951,5.13268300e-18,3.70425049e-19,-0.826972
2791003,7863.449951,5.43176297e-18,3.65741087e-19,-0.826972
2791003,7885.850098,5.15616045e-18,3.59397930e-19,-0.826972
2791003,7908.400146,5.30619406e-18,3.51153602e-19,-0.826972
2791003,7931.150146,4.43983321e-18,3.43704298e-19,-0.826972
2791003,7954.100098,3.98844737e-18,3.37625348e-19,-0.826972
2791003,7977.199951,3.05591041e-18,3.31603266e-19,-0.826972
2791003,8000.549805,3.09412781e-18,3.26231426e-19,-0.826972
2791003,8024.099854,2.55768257e-18,3.21007444e-19,-0.826972
2791003,8047.800049,2.88625401e-18,3.15730239e-19,-0.826972
2791003,8071.750000,2.66819287e-18,3.10313110e-19,-0.826972
2791003,8095.899902,3.48244403e-18,3.07886137e-19,-0.826972
2791003,8120.199951,3.24998435e-18,3.05355403e-19,-0.826972
2791003,8144.750000,2.92531245e-18,3.02662749e-19,-0.826972
2791003,8169.550049,3.44689780e-18,3.00882941e-19,-0.826972
2791003,8194.500000,3.86621365e-18,2.98998417e-19,-0.826972
2791003,8219.649902,4.46279864e-18,2.96741144e-19,-0.826972
2791003,8245.100098,4.38514871e-18,2.94265626e-19,-0.826972
2791003,8270.750000,4.20107952e-18,2.92745526e-19,-0.826972
2791003,8296.599609,4.16410082e-18,2.89320249e-19,-0.826972
2791003,8322.699707,4.45692317e-18,2.85959802e-19,-0.826972
2791003,8349.049805,4.40573062e-18,2.81326324e-19,-0.826972
2791003,8375.649902,4.41808415e-18,2.77679827e-19,-0.826972
2791003,8402.450195,4.62030499e-18,2.73968888e-19,-0.826972
2791003,8429.500000,3.79418358e-18,2.69820991e-19,-0.826972
2791003,8456.799805,3.73345488e-18,2.66599019e-19,-0.826972
2791003,8484.350098,3.75258798e-18,2.61619107e-19,-0.826972
2791003,8512.200195,3.14666019e-18,2.57458544e-19,-0.826972
2791003,8540.300293,3.40940419e-18,2.54140593e-19,-0.826972
2791003,8568.600098,3.56222105e-18,2.50587310e-19,-0.826972
2791003,8597.199707,3.21184285e-18,2.45563919e-19,-0.826972
2791003,8626.099609,3.65871663e-18,2.42582450e-19,-0.826972
2791003,8655.250000,3.33175137e-18,2.39029787e-19,-0.826972
2791003,8684.650391,2.94037499e-18,2.34909833e-19,-0.826972
2791003,8714.350098,3.25899111e-18,2.31297587e-19,-0.826972
2791003,8744.350098,2.94944627e-18,2.28162909e-19,-0.826972
2791003,8774.650391,3.04345369e-18,2.24497387e-19,-0.826972
2791003,8805.250000,2.41673596e-18,2.20844893e-19,-0.826972
2791003,8836.149902,2.80461729e-18,2.17290369e-19,-0.826972
2791003,8867.350098,2.73786112e-18,2.14460080e-19,-0.826972
2791003,8898.850098,2.68709932e-18,2.10674579e-19,-0.826972
2791003,8930.649902,2.35083820e-18,2.08077270e-19,-0.826972
2791003,8962.750000,2.52625364e-18,2.04685054e-19,-0.826972
2791003,8995.250000,2.68749265e-18,2.00742698e-19,-0.826972
2791003,9028.049805,2.25126158e-18,1.98236781e-19,-0.826972
2791003,9061.149902,2.23450083e-18,1.95614566e-19,-0.826972
2791003,9094.600098,2.13118287e-18,1.92784277e-19,-0.826972
2791003,9128.400391,2.08195487e-18,1.90071681e-19,-0.826972
2791003,9162.550293,2.26144438e-18,1.87297420e-19,-0.826972
2791003,9197.050293,2.29460605e-18,1.83940385e-19,-0.826972
2791003,9231.900391,2.29758969e-18,1.81723309e-19,-0.826972
2791003,9267.100098,2.20582992e-18,1.79417633e-19,-0.826972
2791003,9302.699707,2.30906496e-18,1.76535219e-19,-0.826972
2791003,9338.699707,2.10774347e-18,1.74103605e-19,-0.826972
2791003,9375.049805,2.19389474e-18,1.71323555e-19,-0.826972
2791003,9411.750000,2.02531637e-18,1.69104022e-19,-0.826972
2791003,9448.850098,1.85562812e-18,1.66726408e-19,-0.826972
2791003,9486.399902,1.72200154e-18,1.63519067e-19,-0.826972
2791003,9524.350098,1.90222631e-18,1.61193978e-19,-0.826972
2791003,9562.650391,1.80157146e-18,1.58971163e-19,-0.826972
2791003,9601.400391,1.86617902e-18,1.57866050e-19,-0.826972
2791003,9640.600098,1.66634904e-18,1.52147880e-19,-0.826972
2791003,9680.199707,1.33192602e-18,1.49963283e-19,-0.826972
2791003,9720.199707,1.52082884e-18,1.45683476e-19,-0.826972
2791003,9760.649902,1.55473187e-18,1.42730015e-19,-0.826972
2791003,9801.600098,1.17927842e-18,1.43545201e-19,-0.826972
2791003,9842.950195,1.29280864e-18,1.44858441e-19,-0.826972
2791003,9884.750000,1.08616094e-18,1.39020937e-19,-0.826972
2791003,9927.049805,1.22043861e-18,1.34328626e-19,-0.826972
2791003,9969.799805,1.48893224e-18,1.33260697e-19,-0.826972
2791003,10013.049805,1.42014379e-18,1.33658209e-19,-0.826972
2791003,10056.799805,1.40337953e-18,1.32411983e-19,-0.826972
2791003,10101.000000,1.48413976e-18,1.30214539e-19,-0.826972
2791003,10145.700195,1.53670719e-18,1.29162198e-19,-0.826972
2791003,10190.950195,1.65018458e-18,1.28437574e-19,-0.826972
2791003,10236.649902,1.68111514e-18,1.26309846e-19,-0.826972
2791003,10282.849609,1.62953774e-18,1.23130461e-19,-0.826972
2791003,10329.649902,1.77354265e-18,1.22053743e-19,-0.826972
2791003,10376.950195,1.66230288e-18,1.22409638e-19,-0.826972
2791003,10424.750000,1.24593728e-18,1.19842121e-19,-0.826972
2791003,10473.149902,1.37344903e-18,1.17054975e-19,-0.826972
2791003,10522.100098,1.09119878e-18,1.17127573e-19,-0.826972
2791003,10571.600098,1.27207205e-18,1.14376719e-19,-0.826972
2791003,10621.649902,1.32648234e-18,1.11364063e-19,-0.826972
2791003,10672.250000,1.48815655e-18,1.08744433e-19,-0.826972
2791003,10723.450195,1.17277212e-18,1.06961659e-19,-0.826972
2791003,10775.200195,1.16677062e-18,1.06921831e-19,-0.826972
2791003,10827.550293,1.01475323e-18,1.08626844e-19,-0.826972
2791003,10880.500000,1.16109606e-18,1.05357846e-19,-0.826972
2791003,10934.049805,1.31255262e-18,1.00905844e-19,-0.826972
2791003,10988.200195,1.36645791e-18,1.02210475e-19,-0.826972
2791003,11042.950195,1.35969054e-18,1.02684456e-19,-0.826972
2791003,11098.350098,1.18767451e-18,1.00122096e-19,-0.826972
2791003,11154.350098,1.48900751e-18,9.85669775e-20,-0.826972
2791003,11211.000000,1.26531802e-18,9.59147457e-20,-0.826972
2791003,11268.250000,1.35422608e-18,9.59653006e-20,-0.826972
2791003,11326.100098,1.45849633e-18,9.50101332e-20,-0.826972
2791003,11384.649902,1.36242499e-18,9.25956770e-20,-0.826972
2791003,11443.849609,1.31481485e-18,9.13435194e-20,-0.826972
2791003,11503.649902,1.10771799e-18,8.98588013e-20,-0.826972
2791003,11564.100098,1.09681947e-18,8.74795197e-20,-0.826972
2791003,11625.250000,8.56586780e-19,8.69000926e-20,-0.826972
2791003,11687.049805,1.00393277e-18,8.65338907e-20,-0.826972
2791003,11749.500000,1.00022752e-18,8.39820385e-20,-0.826972
2791003,11812.600098,8.08924168e-19,8.05271248e-20,-0.826972
2791003,11876.350098,8.79335901e-19,7.96346034e-20,-0.826972
2791003,11940.800293,7.90395581e-19,7.93930795e-20,-0.826972
2791003,12005.899902,6.88782077e-19,7.87817801e-20,-0.826972
2791003,12071.649902,7.34800616e-19,7.67304239e-20,-0.826972
2791003,12138.050293,5.89872886e-19,7.47189275e-20,-0.826972
2791003,12205.150391,7.62763974e-19,7.42834427e-20,-0.826972
2791003,12272.950195,8.03268682e-19,7.34408688e-20,-0.826972
2791003,12341.350098,7.07315421e-19,7.20155138e-20,-0.826972
2791003,12410.399902,5.59097683e-19,7.08452407e-20,-0.826972
2791003,12480.149902,6.87907851e-19,7.02237243e-20,-0.826972
2791003,12550.550293,5.13343687e-19,6.91090532e-20,-0.826972
2791003,12621.600098,6.11528475e-19,6.78467368e-20,-0.826972
2791003,12693.350098,4.92765708e-19,6.67748917e-20,-0.826972
2791003,12765.700195,5.05958257e-19,6.59515368e-20,-0.826972
2791003,12838.700195,4.99752954e-19,6.48355602e-20,-0.826972
2791003,12912.350098,5.80702762e-19,6.42761341e-20,-0.826972
2791003,12986.600098,4.13685535e-19,6.25102651e-20,-0.826972
2791003,13061.500000,4.77688997e-19,6.11865499e-20,-0.826972
2791003,13137.000000,4.59367877e-19,6.09752117e-20,-0.826972
2791003,13213.100098,4.43284694e-19,6.05719483e-20,-0.826972
2791003,13289.799805,4.91727493e-19,5.90707512e-20,-0.826972
2791003,13367.100098,4.15332116e-19,5.79106368e-20,-0.826972
2791003,13445.000000,4.26246066e-19,5.82854336e-20,-0.826972
2791003,13523.500000,4.32564408e-19,5.73673536e-20,-0.826972
2791003,13602.550293,2.94989770e-19,5.53573952e-20,-0.826972
2791003,13682.149902,3.00217629e-19,5.53068855e-20,-0.826972
2791003,13762.299805,3.96344211e-19,5.52736690e-20,-0.826972
2791003,13843.000000,2.66359964e-19,5.42991533e-20,-0.826972
2791003,13924.200195,3.21201909e-19,5.48429600e-20,-0.826972
2791003,14005.900391,3.20217435e-19,5.28348013e-20,-0.826972
2791003,14088.150391,3.40474675e-19,5.44615392e-20,-0.826972
2791003,14170.850098,3.59586321e-19,5.25911514e-20,-0.826972
2791003,14254.000000,4.52700026e-19,4.78705996e-20,-0.826972
2791003,14337.649902,3.32495199e-19,5.13831349e-20,-0.826972
2791003,14421.750000,4.04134417e-19,5.23129957e-20,-0.826972
2791003,14506.300293,4.42020194e-19,4.65866215e-20,-0.826972
2791003,14591.250000,3.14301724e-19,5.02013038e-20,-0.826972
2791003,14676.600098,3.82112362e-19,4.79437243e-20,-0.826972
2791003,14762.350098,3.26896220e-19,4.74066321e-20,-0.826972
2791003,14848.449707,3.22811603e-19,4.76726579e-20,-0.826972
2791003,14934.949707,3.50509306e-19,4.69483223e-20,-0.826972
2791003,15021.799805,2.63051241e-19,4.73580675e-20,-0.826972
2791003,15109.000000,3.17993301e-19,4.51648563e-20,-0.826972
2791003,15196.500000,3.86811885e-19,4.55966478e-20,-0.826972
2791003,15284.299805,2.80211904e-19,4.48631131e-20,-0.826972
2791003,15372.399902,2.36204138e-19,4.28794241e-20,-0.826972
2791003,15460.750000,3.53781271e-19,4.33174777e-20,-0.826972
2791003,15549.399902,3.60195539e-19,4.33685108e-20,-0.826972
2791003,15638.299805,3.37132710e-19,4.21917172e-20,-0.826972
2791003,15727.399902,2.86127642e-19,4.25163759e-20,-0.826972
2791003,15816.750000,3.09595428e-19,4.25913488e-20,-0.826972
2791003,15906.299805,2.75258075e-19,4.10020699e-20,-0.826972
2791003,15996.000000,2.18849992e-19,4.14715110e-20,-0.826972
2791003,16085.900391,2.64268127e-19,4.21120752e-20,-0.826972
2791003,16176.000000,3.78687239e-19,4.03553213e-20,-0.826972
2791003,16266.250000,2.76402841e-19,3.95356564e-20,-0.826972
2791003,16356.650391,3.27265195e-19,4.00521887e-20,-0.826972
2791003,16447.150391,2.31827345e-19,3.95232325e-20,-0.826972
2791003,16537.750000,2.40301965e-19,3.82619921e-20,-0.826972
2791003,16628.450195,2.39782289e-19,3.82722737e-20,-0.826972
2791003,16719.250000,1.94711996e-19,3.84045644e-20,-0.826972
2791003,16810.149414,2.33842227e-19,3.94155439e-20,-0.826972
2791003,16901.049805,1.16335651e-19,3.91162564e-20,-0.826972
2791003,16992.000000,8.46005305e-20,3.68110074e-20,-0.826972
2791003,17083.049805,1.18173297e-19,3.73915008e-20,-0.826972
2791003,17174.149414,6.53082681e-20,3.62545055e-20,-0.826972
2791003,17265.199219,3.71580194e-20,3.63986805e-20,-0.826972
2791003,17356.250000,1.60641965e-19,3.64895088e-20,-0.826972
2791003,17447.350586,1.27087357e-19,3.57993720e-20,-0.826972
2791003,17538.450195,1.57139410e-19,3.53230937e-20,-0.826972
2791003,17629.500000,1.39917730e-19,3.54114728e-20,-0.826972
2791003,17720.500000,8.16122242e-20,3.50643283e-20,-0.826972
2791003,17811.500000,9.10899821e-20,3.46996419e-20,-0.826972
2791003,17902.450195,1.13378364e-19,3.57584169e-20,-0.826972
2791003,17993.299805,1.21336138e-19,4.43783853e-20,-0.826972
2791003,18084.099609,1.74068127e-19,1.14720219e-19,-0.826972
2791003,18174.849609,2.07128321e-18,1.53301962e-18,-0.826972
